project_id,building_id,project_type,start_date,end_date,planned_end_date,status,estimated_cost_eur,actual_cost_eur,cost_variance_percent,subsidy_amount_eur,funding_source,contractor_name,estimated_energy_savings_percent,actual_energy_savings_percent,annual_energy_savings_kwh,project_manager,procurement_method,priority_level,works_disruption_level
125,186,Remplacement des menuiseries,2018-08-22,2019-01-23,2019-01-13,Completed,168592.7,191352.32,13.5,84904.68,Région,Entreprise Durand,12.41,19.13,11586.31,Sophie Bernard,Appel d'offres ouvert,Basse,Faible
126,263,Isolation thermique,2022-07-02,2023-01-16,2022-12-17,Completed,2922911.08,2820339.17,-3.51,1331630.13,Région,Bouygues Bâtiment,17.72,28.71,392551.31,Jean Dupont,Accord-cadre,Moyenne,Moyen
127,142,Rénovation de toiture,2024-07-04,2025-02-06,2024-12-16,Completed,130590.66,123165.43,-5.69,13610.93,Fonds vert,Léon Grosse,6.6,6.5,13797.74,Nicolas Leroy,Marché négocié,Haute,Élevé
128,269,Rénovation de toiture,2023-05-05,2024-02-23,2024-01-26,Completed,1009256.75,1089832.17,7.98,474038.0,Autofinancement,Bouygues Bâtiment,14.68,16.04,20749.96,Sophie Bernard,Appel d'offres ouvert,Critique,Moyen
129,382,Isolation thermique,2025-06-21,,2025-08-27,In Progress,894457.18,751213.84,-16.01,250383.32,Autofinancement,Léon Grosse,34.4,,,Karim Diallo,Accord-cadre,Moyenne,Faible
130,280,Isolation thermique,2016-07-20,2016-11-05,2016-11-14,Completed,374046.49,395710.78,5.79,35277.22,Fonds vert,Groupe Martin,26.66,17.59,57009.53,Sophie Bernard,Accord-cadre,Haute,Faible
131,164,Remplacement du chauffage,2025-08-25,,2026-03-09,In Progress,561602.64,313004.53,-44.27,140729.26,Fonds vert,VINCI Facilities,18.94,,,Sophie Bernard,Appel d'offres ouvert,Critique,Moyen
132,326,Rénovation de toiture,2023-09-16,2023-12-27,2024-01-08,Completed,1217303.47,1316147.95,8.12,586222.05,Région,VINCI Facilities,11.95,12.15,191792.14,Nicolas Leroy,MAPA,Haute,Élevé
133,496,Remplacement du chauffage,2022-07-06,2023-01-23,2023-01-02,Completed,100649.14,107159.34,6.47,54244.22,Département,Léon Grosse,15.92,18.83,8300.4,Alice Martin,Accord-cadre,Moyenne,Élevé
134,390,Rénovation de toiture,2016-10-01,2017-01-20,2017-02-03,Completed,701019.65,712478.32,1.63,157277.36,Fonds vert,SPIE Building Solutions,8.97,15.64,113829.14,Jean Dupont,MAPA,Moyenne,Moyen
135,33,Ventilation double flux,2020-05-14,2021-03-28,2021-02-13,Completed,1860690.04,1971861.3,5.97,49939.91,Union européenne,Eiffage Énergie,7.35,23.34,412124.54,Emma Robert,Accord-cadre,Critique,Faible
136,374,Isolation thermique,2022-03-08,2022-12-28,2022-11-07,Completed,3097445.86,3107438.58,0.32,787298.79,Région,Entreprise Durand,23.91,19.07,58009.4,Jean Dupont,Accord-cadre,Moyenne,Élevé
137,485,Isolation thermique,2025-11-06,,2026-07-12,Planned,860693.17,,,227030.61,Autofinancement,Bouygues Bâtiment,25.1,,,Alice Martin,Appel d'offres ouvert,Haute,Moyen
138,413,Remplacement du chauffage,2021-06-16,2021-09-15,2021-08-13,Completed,1022322.09,1093516.42,6.96,124684.34,Région,SPIE Building Solutions,29.93,28.65,120367.44,Nicolas Leroy,Appel d'offres ouvert,Haute,Moyen
139,271,Rénovation de toiture,2021-08-20,2022-02-22,2022-01-30,Completed,927129.99,889621.53,-4.05,32232.65,Union européenne,Engie Solutions,16.38,9.81,232499.43,Alice Martin,MAPA,Basse,Moyen
140,130,Remplacement des menuiseries,2025-04-01,2025-08-25,2025-07-07,Completed,608622.95,705309.2,15.89,157699.95,Autofinancement,SPIE Building Solutions,13.65,9.48,28853.41,Karim Diallo,MAPA,Moyenne,Faible
141,10,Isolation thermique,2020-05-03,2020-12-08,2020-10-15,Completed,1038374.32,1169258.13,12.6,9711.16,Autofinancement,Bouygues Bâtiment,18.12,25.68,249193.7,Alice Martin,Marché négocié,Moyenne,Moyen
142,353,Remplacement du chauffage,2024-08-08,2025-06-05,2025-05-15,Completed,2897981.48,3280051.88,13.18,1007885.78,Autofinancement,Engie Solutions,27.62,26.24,473591.5,Alice Martin,Appel d'offres ouvert,Moyenne,Moyen
143,237,Rénovation de toiture,2022-09-20,2023-06-13,2023-06-07,Completed,793396.06,744406.58,-6.17,403252.34,Département,VINCI Facilities,9.31,16.88,307599.57,Sophie Bernard,Marché négocié,Basse,Élevé
144,109,Installation photovoltaïque,2020-06-01,2020-09-16,2020-07-23,Completed,507747.95,487468.4,-3.99,61525.0,Union européenne,Léon Grosse,14.71,13.26,135702.5,Nicolas Leroy,Marché négocié,Haute,Moyen
145,321,Installation photovoltaïque,2022-08-01,2023-01-08,2023-01-01,Completed,1842524.55,2103184.99,14.15,418812.93,Fonds vert,Bouygues Bâtiment,14.19,15.75,287419.86,Emma Robert,Accord-cadre,Critique,Élevé
146,467,Isolation thermique,2022-12-16,2023-09-04,2023-09-08,Completed,2655857.44,2899982.06,9.19,885952.82,Fonds vert,Entreprise Durand,26.67,33.55,487885.49,Emma Robert,Marché négocié,Haute,Faible
147,484,Isolation thermique,2015-01-15,2015-04-21,2015-03-16,Completed,491036.08,448189.0,-8.73,100898.57,ADEME,VINCI Facilities,26.25,22.29,41054.09,Sophie Bernard,MAPA,Haute,Faible
148,461,Rénovation de toiture,2015-03-16,2015-05-24,2015-06-05,Completed,798023.33,847076.08,6.15,24436.76,Fonds vert,Groupe Martin,14.35,12.0,75131.43,Jean Dupont,Appel d'offres ouvert,Haute,Élevé
149,34,Remplacement des menuiseries,2016-08-04,2016-11-30,2016-10-08,Completed,877783.05,970694.03,10.58,50291.86,Région,Bouygues Bâtiment,18.56,11.78,,Emma Robert,Marché négocié,Haute,Moyen
150,454,Éclairage LED,2022-08-25,2023-03-19,2023-03-25,Completed,211624.06,195335.52,-7.7,10819.09,Autofinancement,Bouygues Bâtiment,9.78,7.58,26146.47,Sophie Bernard,Marché négocié,Basse,Élevé
151,245,Installation photovoltaïque,2023-05-22,2023-12-26,2023-11-28,Completed,313431.13,339259.44,8.24,112950.77,Département,Léon Grosse,8.23,6.86,12440.37,Jean Dupont,MAPA,Moyenne,Élevé
152,111,Isolation thermique,2015-12-23,2016-08-30,2016-08-17,Completed,1228593.03,1152957.06,-6.16,494383.81,Union européenne,Bouygues Bâtiment,24.53,19.4,153594.6,Sophie Bernard,Marché négocié,Basse,Moyen
153,53,Installation photovoltaïque,2020-08-24,2021-02-21,2021-02-06,Completed,2437524.23,2677384.76,9.84,920848.9,Région,Eiffage Énergie,9.28,10.33,108947.96,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
154,223,Remplacement du chauffage,2023-05-15,2023-12-03,2023-11-05,Completed,660517.01,629705.39,-4.66,42857.67,ADEME,Bouygues Bâtiment,23.22,22.34,76163.13,Emma Robert,Marché négocié,Haute,Faible
155,164,Isolation thermique,2025-08-21,2026-01-22,2026-02-08,Completed,838739.56,803252.91,-4.23,394497.98,Union européenne,SPIE Building Solutions,20.02,21.3,181826.65,Nicolas Leroy,MAPA,Moyenne,Élevé
156,318,Remplacement du chauffage,2016-07-23,2017-03-12,2017-02-01,Completed,695669.65,633062.21,-9.0,173781.19,Autofinancement,Léon Grosse,26.57,19.48,123190.45,Karim Diallo,Marché négocié,Basse,Faible
157,403,Rénovation de toiture,2023-03-15,2023-12-17,2023-10-23,Completed,1485349.25,1676390.2,12.86,173657.36,Région,VINCI Facilities,11.38,7.72,16430.99,Karim Diallo,MAPA,Moyenne,Moyen
158,134,Ventilation double flux,2020-06-01,2020-08-09,2020-08-26,Completed,1011062.19,1046675.92,3.52,207295.9,Fonds vert,Engie Solutions,10.32,18.91,,Karim Diallo,Accord-cadre,Haute,Moyen
159,376,Isolation thermique,2025-01-09,2025-05-24,2025-05-15,Completed,575063.88,558163.61,-2.94,104139.68,Région,Engie Solutions,30.02,25.07,105871.31,Alice Martin,Appel d'offres ouvert,Haute,Faible
160,477,Remplacement des menuiseries,2025-07-08,,2025-12-26,Planned,769159.75,,,22784.67,ADEME,Engie Solutions,9.84,,,Karim Diallo,MAPA,Critique,Faible
161,118,Remplacement du chauffage,2024-11-14,,2025-05-08,In Progress,2642176.7,1932846.82,-26.85,470997.15,Autofinancement,Groupe Martin,27.43,,,Jean Dupont,Appel d'offres ouvert,Moyenne,Moyen
162,157,Ventilation double flux,2025-06-08,2025-10-11,2025-10-07,Completed,223051.1,231315.56,3.71,81277.33,Fonds vert,VINCI Facilities,15.59,9.15,23884.84,Jean Dupont,MAPA,Haute,Faible
163,299,Remplacement du chauffage,2019-08-04,2020-01-05,2019-12-24,Completed,874934.72,912049.42,4.24,97513.95,Fonds vert,VINCI Facilities,25.66,16.75,200715.99,Karim Diallo,Accord-cadre,Haute,Élevé
164,436,Remplacement du chauffage,2020-07-23,2021-04-17,2021-03-06,Completed,129566.74,144456.14,11.49,4545.02,Union européenne,Bouygues Bâtiment,12.72,27.14,,Sophie Bernard,Marché négocié,Critique,Élevé
165,336,Isolation thermique,2015-12-04,2016-03-23,2016-03-12,Completed,763273.61,694646.26,-8.99,155998.14,Autofinancement,SPIE Building Solutions,30.77,19.1,63171.47,Jean Dupont,Accord-cadre,Critique,Moyen
166,375,Remplacement du chauffage,2025-07-20,,2025-12-23,In Progress,389832.17,261492.0,-32.92,97031.79,Fonds vert,Groupe Martin,31.89,,,Karim Diallo,MAPA,Basse,Élevé
167,293,Remplacement du chauffage,2025-03-17,2025-12-27,2025-11-21,Completed,1483875.28,1557840.03,4.98,109826.76,ADEME,Eiffage Énergie,26.08,26.8,65120.21,Jean Dupont,MAPA,Moyenne,Élevé
168,292,Ventilation double flux,2023-10-11,2024-01-23,2023-12-08,Completed,736198.74,716650.64,-2.66,343976.52,ADEME,SPIE Building Solutions,14.03,21.14,53030.69,Jean Dupont,Marché négocié,Moyenne,Élevé
169,201,Isolation thermique,2016-12-02,2017-07-06,2017-05-28,Completed,1889241.86,1844847.23,-2.35,935133.92,Département,Groupe Martin,19.35,26.99,,Jean Dupont,Accord-cadre,Moyenne,Faible
170,293,Rénovation de toiture,2025-03-07,,2025-09-13,Planned,549921.68,,,39288.92,Autofinancement,Groupe Martin,13.57,,,Sophie Bernard,Appel d'offres ouvert,Moyenne,Moyen
171,159,Éclairage LED,2025-08-25,2026-05-14,2026-05-17,Completed,123482.69,118175.08,-4.3,7216.78,ADEME,Groupe Martin,5.0,11.31,13643.8,Karim Diallo,Accord-cadre,Haute,Faible
172,49,Éclairage LED,2025-09-19,,2026-04-08,Planned,335441.14,,,117982.59,Union européenne,Eiffage Énergie,3.26,,,Alice Martin,MAPA,Critique,Faible
173,92,Éclairage LED,2017-03-19,2017-09-29,2017-08-12,Completed,280972.79,295355.51,5.12,129600.79,Autofinancement,SPIE Building Solutions,5.89,7.08,22416.73,Nicolas Leroy,Accord-cadre,Moyenne,Élevé
174,227,Remplacement des menuiseries,2022-12-11,2023-07-10,2023-07-22,Completed,284226.13,321600.02,13.15,11393.78,Fonds vert,SPIE Building Solutions,14.15,17.54,48085.19,Nicolas Leroy,Accord-cadre,Haute,Moyen
175,427,Installation photovoltaïque,2018-01-06,2018-05-05,2018-04-10,Completed,1066091.9,1215755.81,14.04,306446.86,Région,SPIE Building Solutions,15.42,10.62,64143.9,Karim Diallo,Appel d'offres ouvert,Haute,Faible
176,169,Installation photovoltaïque,2019-10-19,2020-03-09,2020-03-15,Completed,286120.85,290600.94,1.57,109649.15,Région,VINCI Facilities,7.99,14.33,11062.87,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Faible
177,364,Remplacement du chauffage,2015-06-09,2015-10-19,2015-08-27,Completed,1892771.32,2100656.13,10.98,99457.35,Fonds vert,SPIE Building Solutions,18.47,27.12,,Karim Diallo,MAPA,Basse,Élevé
178,198,Remplacement des menuiseries,2016-01-11,2016-09-23,2016-10-06,Completed,182448.21,203788.18,11.7,56956.87,ADEME,Léon Grosse,16.32,18.24,29425.71,Alice Martin,Accord-cadre,Moyenne,Moyen
179,482,Isolation thermique,2020-09-11,2021-04-08,2021-02-13,Completed,611707.05,623094.28,1.86,125324.49,Région,VINCI Facilities,27.82,38.63,113684.13,Emma Robert,Marché négocié,Haute,Moyen
180,187,Rénovation de toiture,2016-12-13,2017-09-07,2017-08-24,Completed,288108.54,317040.07,10.04,112663.35,Région,SPIE Building Solutions,8.18,15.67,31767.76,Alice Martin,Appel d'offres ouvert,Critique,Moyen
181,318,Remplacement des menuiseries,2024-11-13,2025-08-28,2025-07-27,Completed,278608.95,302439.26,8.55,73288.48,Fonds vert,SPIE Building Solutions,9.15,13.92,88029.32,Alice Martin,Marché négocié,Haute,Moyen
182,345,Remplacement des menuiseries,2023-10-17,2024-06-30,2024-05-18,Completed,794077.88,879188.92,10.72,311164.88,Union européenne,Groupe Martin,18.92,17.85,145035.69,Alice Martin,Accord-cadre,Critique,Élevé
183,355,Isolation thermique,2017-07-19,2017-09-19,2017-10-25,Cancelled,1893031.39,109370.58,-94.22,12524.93,Autofinancement,Entreprise Durand,27.21,,,Emma Robert,Appel d'offres ouvert,Moyenne,Moyen
184,276,Isolation thermique,2016-01-09,2016-07-19,2016-07-27,Completed,955406.08,1006144.68,5.31,273031.56,Département,Léon Grosse,27.67,15.61,67605.64,Karim Diallo,MAPA,Critique,Faible
185,308,Remplacement du chauffage,2020-03-09,2021-01-25,2020-12-04,Completed,1132731.1,1051091.88,-7.21,441837.65,Département,Groupe Martin,18.87,26.96,295581.3,Karim Diallo,Marché négocié,Moyenne,Moyen
186,222,Installation photovoltaïque,2015-06-04,2016-04-27,2016-03-03,Completed,2430340.83,2642256.5,8.72,1355466.63,Région,Entreprise Durand,6.76,12.11,287241.16,Alice Martin,Marché négocié,Haute,Faible
187,459,Installation photovoltaïque,2023-02-12,2023-05-20,2023-05-17,Completed,1191993.29,1379821.7,15.76,437509.27,Région,Groupe Martin,11.46,11.37,86675.78,Jean Dupont,Appel d'offres ouvert,Moyenne,Élevé
188,373,Isolation thermique,2024-08-10,,2025-04-15,In Progress,3469758.75,1469325.36,-57.65,138601.07,Fonds vert,Eiffage Énergie,30.63,,,Jean Dupont,Accord-cadre,Moyenne,Moyen
189,413,Remplacement du chauffage,2023-01-16,2023-08-11,2023-07-31,Completed,1004637.48,1089611.95,8.46,332011.72,Département,Eiffage Énergie,25.68,20.28,85202.5,Nicolas Leroy,Accord-cadre,Moyenne,Moyen
190,152,Remplacement du chauffage,2021-04-12,2021-11-11,2021-09-25,Completed,494335.48,497225.06,0.58,245981.7,Autofinancement,Léon Grosse,27.97,14.98,36808.35,Sophie Bernard,Marché négocié,Moyenne,Élevé
191,36,Installation photovoltaïque,2025-08-07,,2025-10-03,In Progress,1224404.46,883403.47,-27.85,222530.69,Fonds vert,Eiffage Énergie,14.77,,,Jean Dupont,MAPA,Haute,Faible
192,23,Isolation thermique,2016-08-07,2017-02-09,2017-02-12,Completed,2224266.52,2575079.01,15.77,1297917.83,ADEME,Léon Grosse,19.2,15.25,179952.55,Jean Dupont,MAPA,Basse,Moyen
193,97,Éclairage LED,2025-02-20,,2025-09-15,Planned,291834.31,,,17156.11,Fonds vert,Léon Grosse,4.72,,,Emma Robert,Marché négocié,Haute,Moyen
194,468,Ventilation double flux,2024-04-22,2024-10-15,2024-10-21,Completed,2102911.91,2270909.4,7.99,389847.36,Fonds vert,SPIE Building Solutions,17.98,14.79,177102.16,Sophie Bernard,Accord-cadre,Haute,Moyen
195,29,Remplacement du chauffage,2019-05-24,2019-07-11,2019-07-08,Completed,1532894.94,1676844.51,9.39,709260.46,Région,VINCI Facilities,18.24,22.64,371911.81,Alice Martin,Appel d'offres ouvert,Moyenne,Moyen
196,134,Remplacement du chauffage,2024-05-08,,2025-01-24,In Progress,2140257.38,1234613.31,-42.31,479952.87,ADEME,Groupe Martin,28.12,,,Emma Robert,MAPA,Moyenne,Faible
197,24,Remplacement des menuiseries,2023-04-25,2024-01-18,2023-12-28,Completed,287761.12,283985.94,-1.31,136638.98,Union européenne,Bouygues Bâtiment,10.1,15.58,131870.22,Sophie Bernard,Marché négocié,Haute,Moyen
198,450,Remplacement du chauffage,2016-04-24,2016-09-25,2016-08-16,Completed,547311.47,590239.7,7.84,69564.29,Département,SPIE Building Solutions,21.62,24.37,56128.11,Emma Robert,Marché négocié,Basse,Faible
199,438,Remplacement du chauffage,2021-03-13,2021-04-17,2021-05-05,Completed,877071.41,899651.79,2.57,400423.0,Union européenne,VINCI Facilities,28.28,28.18,78906.82,Alice Martin,Marché négocié,Moyenne,Faible
200,383,Installation photovoltaïque,2017-11-16,2018-02-05,2018-01-05,Completed,1442181.66,1657980.88,14.96,156016.74,Autofinancement,Engie Solutions,8.33,14.06,51944.56,Sophie Bernard,Appel d'offres ouvert,Haute,Faible
201,291,Remplacement des menuiseries,2021-03-01,2021-06-05,2021-05-08,Completed,1581749.53,1643182.99,3.88,526119.42,Département,VINCI Facilities,13.78,17.32,303781.67,Emma Robert,MAPA,Haute,Faible
202,416,Isolation thermique,2025-12-04,,2026-01-31,In Progress,1298033.79,744688.44,-42.63,194801.6,Union européenne,Léon Grosse,20.38,,,Karim Diallo,Appel d'offres ouvert,Haute,Moyen
203,167,Remplacement du chauffage,2023-03-22,2023-07-15,2023-05-27,Completed,625902.31,579555.13,-7.4,53288.03,Autofinancement,SPIE Building Solutions,27.79,29.79,332216.85,Nicolas Leroy,Accord-cadre,Moyenne,Moyen
204,233,Remplacement du chauffage,2020-12-22,2021-11-15,2021-09-24,Completed,1088686.02,1135555.28,4.31,468489.91,ADEME,Eiffage Énergie,16.18,12.1,19918.48,Sophie Bernard,MAPA,Haute,Élevé
205,391,Installation photovoltaïque,2020-10-05,2021-05-04,2021-05-13,Completed,150388.8,149416.53,-0.65,77801.56,Département,Entreprise Durand,14.12,11.8,23396.87,Emma Robert,Appel d'offres ouvert,Haute,Faible
206,374,Ventilation double flux,2025-04-14,2025-06-21,2025-07-05,Completed,2462647.87,2342226.49,-4.89,877902.62,Union européenne,Engie Solutions,14.63,14.57,44320.76,Alice Martin,Marché négocié,Moyenne,Moyen
207,166,Remplacement du chauffage,2025-03-13,,2025-09-06,Planned,309723.5,,,23261.89,ADEME,Entreprise Durand,20.62,,,Sophie Bernard,MAPA,Haute,Élevé
208,259,Ventilation double flux,2019-12-17,2020-07-15,2020-07-01,Completed,770219.03,805037.65,4.52,76283.67,ADEME,Groupe Martin,14.49,7.63,30020.03,Emma Robert,Marché négocié,Basse,Élevé
209,110,Isolation thermique,2020-03-22,2020-07-24,2020-06-06,Completed,2845408.18,3027763.92,6.41,1565446.04,Fonds vert,VINCI Facilities,23.02,29.37,,Sophie Bernard,Appel d'offres ouvert,Haute,Moyen
210,33,Installation photovoltaïque,2023-05-22,2023-12-18,2023-11-15,Completed,2084400.25,2244882.56,7.7,947514.97,Autofinancement,Groupe Martin,5.79,9.36,165273.6,Karim Diallo,Accord-cadre,Moyenne,Élevé
211,87,Remplacement du chauffage,2017-08-21,2018-04-16,2018-03-30,Completed,562254.31,638657.57,13.59,175090.2,Union européenne,SPIE Building Solutions,25.44,25.55,26051.05,Karim Diallo,Marché négocié,Haute,Moyen
212,235,Remplacement du chauffage,2023-06-10,2024-03-20,2024-02-25,Completed,552340.69,497206.97,-9.98,261112.14,Fonds vert,Léon Grosse,20.95,34.25,194925.63,Emma Robert,Appel d'offres ouvert,Haute,Élevé
213,114,Rénovation de toiture,2017-08-22,2018-06-27,2018-05-14,Completed,1338016.32,1303433.02,-2.58,193477.91,Union européenne,Entreprise Durand,12.28,15.88,277444.89,Nicolas Leroy,MAPA,Haute,Moyen
214,438,Rénovation de toiture,2024-12-06,2025-07-04,2025-05-15,Completed,942793.33,991902.43,5.21,374122.97,Autofinancement,VINCI Facilities,12.53,8.45,23660.84,Sophie Bernard,Appel d'offres ouvert,Haute,Élevé
215,300,Remplacement des menuiseries,2025-06-19,,2025-10-06,In Progress,795403.82,330516.79,-58.45,156188.8,Autofinancement,Bouygues Bâtiment,17.95,,,Jean Dupont,Marché négocié,Moyenne,Faible
216,429,Isolation thermique,2022-12-14,2023-07-17,2023-05-30,Completed,272002.58,283804.16,4.34,88273.79,Fonds vert,Groupe Martin,21.44,16.99,18933.07,Sophie Bernard,MAPA,Haute,Élevé
217,279,Éclairage LED,2024-10-12,2024-11-23,2024-12-21,Cancelled,68170.1,2775.9,-95.93,518.74,Fonds vert,Groupe Martin,6.63,,,Jean Dupont,Appel d'offres ouvert,Basse,Élevé
218,274,Remplacement du chauffage,2019-03-14,2019-10-28,2019-10-19,Completed,168244.23,189633.73,12.71,89898.98,Union européenne,SPIE Building Solutions,26.65,22.73,,Karim Diallo,MAPA,Haute,Élevé
219,232,Isolation thermique,2018-09-11,2019-01-03,2018-11-28,Completed,2667141.31,2505991.6,-6.04,44484.43,Département,Groupe Martin,18.14,31.01,684875.94,Emma Robert,Appel d'offres ouvert,Moyenne,Faible
220,85,Rénovation de toiture,2016-03-02,2016-06-29,2016-05-12,Completed,1248717.61,1344614.88,7.68,8954.78,ADEME,Eiffage Énergie,7.28,14.73,456086.09,Karim Diallo,Accord-cadre,Moyenne,Faible
221,424,Isolation thermique,2025-04-20,,2025-10-11,Planned,331399.35,,,133269.21,Union européenne,Groupe Martin,27.84,,,Emma Robert,Accord-cadre,Haute,Élevé
222,326,Remplacement du chauffage,2025-09-11,2025-12-22,2025-12-27,Completed,1258604.5,1381830.85,9.79,271804.23,ADEME,Entreprise Durand,17.79,31.71,500553.8,Nicolas Leroy,Marché négocié,Moyenne,Faible
223,77,Remplacement du chauffage,2016-08-18,2017-02-19,2016-12-26,Completed,746170.02,719351.15,-3.59,134782.3,Union européenne,Léon Grosse,15.49,29.64,260816.16,Karim Diallo,MAPA,Moyenne,Élevé
224,442,Ventilation double flux,2023-01-25,2023-10-24,2023-10-30,Completed,1311981.64,1300326.99,-0.89,509343.73,Fonds vert,Eiffage Énergie,14.84,17.99,91254.12,Jean Dupont,Marché négocié,Moyenne,Faible
225,391,Remplacement du chauffage,2025-05-03,2025-06-18,2025-08-15,Cancelled,273965.0,10283.97,-96.25,1744.41,Région,Bouygues Bâtiment,28.95,,,Jean Dupont,MAPA,Moyenne,Élevé
226,101,Ventilation double flux,2020-08-07,2021-06-11,2021-04-24,Completed,1031800.69,1055926.57,2.34,349669.11,Département,Entreprise Durand,21.9,17.64,40656.57,Nicolas Leroy,MAPA,Moyenne,Moyen
227,170,Remplacement des menuiseries,2016-06-16,2017-01-31,2016-12-15,Completed,1089855.22,1044067.28,-4.2,197018.27,Département,Engie Solutions,19.89,6.72,67609.73,Emma Robert,Accord-cadre,Critique,Faible
228,36,Isolation thermique,2025-06-14,,2025-10-13,Planned,1111931.15,,,355154.68,Département,SPIE Building Solutions,15.85,,,Emma Robert,MAPA,Moyenne,Élevé
229,78,Isolation thermique,2025-11-03,2026-01-19,2026-01-30,Completed,814750.17,802761.47,-1.47,160023.54,Département,Entreprise Durand,28.92,27.59,207421.85,Sophie Bernard,MAPA,Moyenne,Élevé
230,264,Remplacement des menuiseries,2024-12-01,2025-06-05,2025-05-31,Completed,369524.36,385134.02,4.22,169899.18,Union européenne,Bouygues Bâtiment,13.35,10.66,40129.17,Karim Diallo,Marché négocié,Moyenne,Faible
231,440,Isolation thermique,2018-03-09,2018-06-08,2018-05-15,Completed,304705.69,343350.58,12.68,56940.62,ADEME,Bouygues Bâtiment,25.64,36.46,43110.68,Emma Robert,Appel d'offres ouvert,Haute,Élevé
232,79,Remplacement du chauffage,2019-10-17,2020-01-31,2020-02-06,Completed,191104.14,221589.91,15.95,116533.93,Département,Entreprise Durand,23.64,10.61,9698.23,Jean Dupont,Appel d'offres ouvert,Haute,Faible
233,204,Remplacement du chauffage,2023-04-07,2023-12-31,2023-12-14,Completed,554786.31,604518.58,8.96,250647.87,Région,Bouygues Bâtiment,17.72,14.38,56182.64,Alice Martin,Marché négocié,Basse,Élevé
234,191,Isolation thermique,2023-05-03,2023-11-14,2023-09-30,Completed,579510.06,660588.27,13.99,159559.55,Fonds vert,VINCI Facilities,20.83,16.99,26296.58,Karim Diallo,Marché négocié,Haute,Élevé
235,125,Remplacement des menuiseries,2023-08-19,2024-01-19,2024-02-01,Completed,1465589.53,1603280.66,9.39,189575.75,Fonds vert,Entreprise Durand,18.35,12.61,30594.07,Sophie Bernard,MAPA,Moyenne,Faible
236,198,Remplacement du chauffage,2024-03-03,,2024-11-07,In Progress,169077.66,130697.26,-22.7,70807.34,Autofinancement,SPIE Building Solutions,31.46,,,Nicolas Leroy,Appel d'offres ouvert,Haute,Élevé
237,400,Remplacement des menuiseries,2017-10-10,2018-01-14,2017-11-27,Completed,327983.79,295279.62,-9.97,65270.91,Autofinancement,Léon Grosse,14.39,9.3,32201.76,Karim Diallo,MAPA,Moyenne,Élevé
238,410,Isolation thermique,2022-05-04,2022-12-27,2022-11-16,Completed,568666.71,564158.04,-0.79,231525.36,Département,Bouygues Bâtiment,25.32,19.07,75533.5,Sophie Bernard,Marché négocié,Haute,Faible
239,151,Isolation thermique,2024-04-13,,2024-07-11,In Progress,604225.31,376112.9,-37.75,42439.22,Autofinancement,SPIE Building Solutions,23.92,,,Emma Robert,Appel d'offres ouvert,Moyenne,Faible
240,65,Isolation thermique,2022-08-09,2023-03-07,2023-02-01,Completed,742956.41,802692.58,8.04,42057.76,Union européenne,Engie Solutions,27.04,18.66,26217.2,Sophie Bernard,MAPA,Haute,Élevé
241,253,Remplacement des menuiseries,2025-05-14,,2026-01-09,Planned,557644.93,,,125404.19,Union européenne,Groupe Martin,11.58,,,Alice Martin,Accord-cadre,Moyenne,Faible
242,404,Éclairage LED,2025-09-08,,2026-01-09,In Progress,228567.55,89518.49,-60.83,4393.6,Département,Léon Grosse,6.83,,,Karim Diallo,Accord-cadre,Critique,Moyen
243,231,Remplacement du chauffage,2022-09-01,2023-05-28,2023-05-07,Completed,382554.85,352897.61,-7.75,35770.9,Union européenne,VINCI Facilities,21.66,32.64,133645.87,Alice Martin,Accord-cadre,Haute,Élevé
244,215,Éclairage LED,2023-05-04,2023-08-08,2023-07-22,Completed,116180.47,131662.7,13.33,69266.05,ADEME,SPIE Building Solutions,4.72,3.12,3366.55,Nicolas Leroy,Marché négocié,Basse,Élevé
245,430,Remplacement du chauffage,2023-09-12,2023-12-21,2023-11-26,Completed,626896.83,649646.93,3.63,187783.46,Union européenne,Groupe Martin,18.15,23.27,105361.89,Emma Robert,Accord-cadre,Haute,Élevé
246,226,Ventilation double flux,2019-12-07,2020-07-10,2020-06-17,Completed,1691238.08,1720527.24,1.73,41689.28,Région,Entreprise Durand,18.43,14.04,255697.24,Karim Diallo,Accord-cadre,Haute,Faible
247,452,Remplacement du chauffage,2019-05-21,2020-03-11,2020-02-11,Completed,302861.98,285286.03,-5.8,90899.02,ADEME,Groupe Martin,26.84,22.23,42502.99,Jean Dupont,Accord-cadre,Basse,Faible
248,490,Éclairage LED,2022-08-10,2022-09-27,2023-03-09,Cancelled,229055.5,15034.13,-93.44,2526.28,Département,Engie Solutions,8.92,,,Sophie Bernard,Marché négocié,Moyenne,Moyen
249,465,Ventilation double flux,2017-01-17,2017-06-04,2017-05-06,Completed,950750.02,972581.57,2.3,317513.35,Autofinancement,Entreprise Durand,14.87,19.98,208715.02,Sophie Bernard,Marché négocié,Haute,Moyen
250,117,Ventilation double flux,2019-04-23,2019-09-06,2019-08-08,Completed,632159.53,727896.24,15.14,98200.45,Union européenne,Groupe Martin,21.77,13.75,38038.51,Sophie Bernard,Accord-cadre,Haute,Faible
