building_id,building_name,building_type,address,city,postal_code,construction_year,surface_m2,number_of_floors,heating_type,annual_energy_consumption_kwh,energy_intensity_kwh_m2_year,dpe_rating,co2_emissions_kg_year,insulation_quality,occupancy_rate,number_of_occupants,has_solar_panels,last_energy_audit_year,accessibility_status,asbestos_risk,heritage_status,latitude,longitude
128,Crèche municipale 128,Crèche,178 rue Pasteur,Strasbourg,67000,2010,1592.21,1,Réseau urbain,96949.67,60.89,C,9694.97,Bonne,1.0,199,True,2019,Conforme,False,Non protégé,48.53341,7.738073
129,Mairie municipale 129,Mairie,216 rue des Écoles,Bordeaux,33000,2001,3050.69,2,Réseau urbain,285636.1,93.63,B,28563.61,Moyenne,0.7542,605,False,2020,Conforme,False,Non protégé,44.810943,-0.56834
130,EHPAD municipale 130,EHPAD,133 rue Pasteur,Montpellier,34000,2007,3684.31,3,Électrique,304360.85,82.61,C,18261.65,Bonne,1.0,1674,False,2020,Partiellement conforme,False,Non protégé,43.565098,3.906761
131,Crèche municipale 131,Crèche,147 rue Pasteur,Bordeaux,33000,1954,1601.3,1,Réseau urbain,393391.37,245.67,,39339.14,Faible,0.8977,179,False,2024,Partiellement conforme,True,Non protégé,44.800886,-0.552314
132,École municipale 132,École,133 rue Victor Hugo,Strasbourg,67000,1968,2777.88,2,Réseau urbain,600383.2,216.13,E,60038.32,Faible,0.748,461,False,2024,Conforme,False,Non protégé,48.579219,7.72678
133,Bibliothèque municipale 133,Bibliothèque,72 rue Victor Hugo,Paris,75000,1936,4356.38,4,Réseau urbain,1174000.85,269.49,G,117400.09,Faible,0.6512,567,True,2018,Partiellement conforme,False,Classé,48.876392,2.312283
134,Gymnase municipale 134,Gymnase,13 rue Victor Hugo,Rennes,35000,1961,5360.3,6,Gaz,,,,,Faible,0.5025,359,False,,Travaux requis,False,Non protégé,48.165756,-1.713899
135,École municipale 135,École,160 rue de la République,Rennes,35000,1937,3201.67,3,Réseau urbain,698572.38,218.19,F,69857.24,Moyenne,0.6133,436,True,2021,Conforme,False,Non protégé,48.134602,-1.666595
136,École municipale 136,École,62 rue Jean Jaurès,Marseille,13000,1934,1701.02,2,Fioul,732969.52,430.9,G,197901.77,Faible,0.692,261,False,2023,Conforme,False,Non protégé,43.341265,5.383194
137,Bibliothèque municipale 137,Bibliothèque,122 rue Jean Jaurès,Grenoble,38000,1926,3848.89,3,Électrique,1235262.76,320.94,G,74115.77,Faible,0.501,385,False,2024,Conforme,True,Non protégé,45.229058,5.737913
138,EHPAD municipale 138,EHPAD,51 rue des Écoles,Strasbourg,67000,1938,7548.21,7,Gaz,2582167.16,342.09,G,516433.43,Faible,0.6709,2301,False,2020,Partiellement conforme,False,Non protégé,48.56181,7.703021
139,École municipale 139,École,203 rue des Écoles,Grenoble,38000,2014,4157.84,4,Fioul,151885.9,36.53,A,41009.19,Très bonne,0.8635,797,False,2020,Partiellement conforme,False,Non protégé,45.235497,5.737275
140,Bibliothèque municipale 140,Bibliothèque,133 rue Victor Hugo,Paris,75000,1997,4454.36,3,Biomasse,504946.25,113.36,C,15148.39,Moyenne,0.7663,682,False,2018,Conforme,False,Non protégé,48.872325,2.351909
141,Gymnase municipale 141,Gymnase,163 rue des Écoles,Rennes,35000,1913,6741.43,7,Gaz,2035709.62,301.97,,407141.92,Faible,0.4613,414,False,2021,Conforme,False,Classé,48.1344,-1.721131
142,Mairie municipale 142,Mairie,126 rue de la République,Nantes,44000,1918,572.89,1,Gaz,212272.93,370.53,F,42454.59,Faible,0.6207,93,False,2016,Conforme,False,Non protégé,47.181545,-1.583601
143,École municipale 143,École,54 rue de la République,Montpellier,34000,1978,5876.77,6,Gaz,1011274.58,172.08,,202254.92,Moyenne,0.8295,1083,False,2020,Conforme,False,Non protégé,43.61784,3.925296
144,Bibliothèque municipale 144,Bibliothèque,157 rue Victor Hugo,Toulouse,31000,1938,4344.04,3,Réseau urbain,1277060.88,293.98,G,127706.09,Faible,0.7127,619,False,2023,Travaux requis,True,Non protégé,43.57671,1.455254
145,Crèche municipale 145,Crèche,103 rue des Écoles,Nantes,44000,1903,793.04,1,Biomasse,,,G,,Faible,0.9534,94,False,,Conforme,True,Inscrit,47.178515,-1.516459
146,EHPAD municipale 146,EHPAD,78 rue Pasteur,Lille,59000,1974,2321.03,2,Réseau urbain,625285.48,269.4,G,62528.55,Faible,0.9431,994,False,2017,Travaux requis,True,Non protégé,50.671459,3.0759
147,Crèche municipale 147,Crèche,185 rue Pasteur,Toulouse,31000,1943,644.22,1,Gaz,209816.01,325.69,F,41963.2,Faible,0.806,64,True,2025,Conforme,False,Non protégé,43.613872,1.412486
148,École municipale 148,École,40 rue Pasteur,Bordeaux,33000,1927,5835.28,5,Électrique,1993915.18,341.7,G,119634.91,Faible,0.6333,821,False,2025,Conforme,False,Inscrit,44.790443,-0.602258
149,EHPAD municipale 149,EHPAD,31 rue Pasteur,Montpellier,34000,1959,1904.13,1,Électrique,473785.63,248.82,E,28427.14,Faible,0.9763,845,False,2022,Conforme,False,Non protégé,43.594279,3.876029
150,École municipale 150,École,180 rue Victor Hugo,Paris,75000,1956,2699.41,2,Gaz,761017.67,281.92,G,152203.53,Faible,0.8904,534,False,2025,Conforme,False,Non protégé,48.840528,2.358195
151,Mairie municipale 151,Mairie,220 rue Jean Jaurès,Lille,59000,2014,3275.6,2,Pompe à chaleur,114646.0,35,A,4585.84,Très bonne,0.6303,543,False,2021,Conforme,False,Non protégé,50.673363,3.048553
152,Crèche municipale 152,Crèche,206 rue de la République,Nantes,44000,1943,1262.87,1,Pompe à chaleur,245716.62,194.57,G,9828.66,Faible,0.9263,146,False,2020,Conforme,False,Non protégé,47.205871,-1.594427
153,Gymnase municipale 153,Gymnase,104 rue Pasteur,Toulouse,31000,1911,5195.38,3,Gaz,2148601.35,413.56,G,429720.27,Faible,0.452,313,False,2023,Conforme,False,Non protégé,43.600512,1.404001
154,Gymnase municipale 154,Gymnase,139 rue Jean Jaurès,Grenoble,38000,2001,4471.58,4,Gaz,269278.55,60.22,B,53855.71,Bonne,0.4835,288,False,2016,Conforme,False,Non protégé,45.157978,5.683754
155,École municipale 155,École,188 rue Jean Jaurès,Montpellier,34000,1955,5233.3,4,Gaz,,,E,,Faible,0.8969,1043,False,,Partiellement conforme,False,Non protégé,43.634397,3.910198
156,École municipale 156,École,115 rue Jean Jaurès,Paris,75000,2020,1855.87,1,Pompe à chaleur,64955.45,35,B,2598.22,Très bonne,0.8552,352,True,2021,Travaux requis,False,Non protégé,48.811226,2.338954
157,École municipale 157,École,51 rue Victor Hugo,Grenoble,38000,1966,1070.48,1,Gaz,261036.55,243.85,F,52207.31,Faible,0.9654,229,False,2021,Partiellement conforme,False,Non protégé,45.206153,5.771472
158,Crèche municipale 158,Crèche,77 rue Jean Jaurès,Lille,59000,1963,882.49,1,Gaz,286200.33,324.31,G,57240.07,Faible,0.9567,105,False,2015,Travaux requis,True,Non protégé,50.591043,3.090466
159,Crèche municipale 159,Crèche,9 rue Victor Hugo,Marseille,13000,1994,785.69,1,Gaz,120634.84,153.54,D,24126.97,Moyenne,0.8138,79,False,2024,Conforme,False,Non protégé,43.307774,5.380447
160,Mairie municipale 160,Mairie,217 rue Jean Jaurès,Nantes,44000,1913,2097.06,2,Réseau urbain,613578.79,292.59,F,61357.88,Faible,0.6961,384,False,2016,Conforme,True,Non protégé,47.186718,-1.50424
161,Gymnase municipale 161,Gymnase,120 rue de la République,Rennes,35000,1992,6669.08,5,Gaz,1060850.56,159.07,C,212170.11,Moyenne,0.3745,333,False,2024,Conforme,False,Non protégé,48.107054,-1.630782
162,Crèche municipale 162,Crèche,189 rue de la République,Strasbourg,67000,2009,1056.89,1,Électrique,68296.23,64.62,B,4097.77,Bonne,0.7611,100,True,2022,Conforme,False,Non protégé,48.600763,7.729366
163,Crèche municipale 163,Crèche,67 rue Jean Jaurès,Nantes,44000,2000,489.0,1,Pompe à chaleur,44733.72,91.48,D,1789.35,Moyenne,0.8434,51,False,2015,Conforme,False,Non protégé,47.246433,-1.523171
164,Gymnase municipale 164,Gymnase,92 rue Jean Jaurès,Montpellier,34000,1905,2179.17,1,Gaz,853646.26,391.73,G,170729.25,Faible,0.5685,165,False,2018,Conforme,False,Inscrit,43.581351,3.827062
165,École municipale 165,École,49 rue Pasteur,Lille,59000,1906,3117.3,3,Réseau urbain,,,,,Faible,0.722,500,False,,Partiellement conforme,False,Non protégé,50.584385,3.081254
166,Crèche municipale 166,Crèche,143 rue Victor Hugo,Grenoble,38000,1923,1337.05,1,Pompe à chaleur,249720.83,186.77,F,9988.83,Faible,0.951,158,False,2025,Partiellement conforme,False,Non protégé,45.212152,5.769252
167,EHPAD municipale 167,EHPAD,192 rue de la République,Grenoble,38000,1917,3311.84,3,Électrique,1115195.88,336.73,,66911.75,Faible,0.9208,1386,False,2021,Partiellement conforme,False,Non protégé,45.215367,5.765281
168,Mairie municipale 168,Mairie,83 rue de la République,Marseille,13000,1923,2934.65,2,Électrique,814071.91,277.4,F,48844.31,Faible,0.6522,503,False,2015,Conforme,False,Non protégé,43.315054,5.326208
169,Crèche municipale 169,Crèche,20 rue des Écoles,Bordeaux,33000,2008,965.13,1,Réseau urbain,77200.75,79.99,C,7720.08,Bonne,0.8931,107,True,2015,Partiellement conforme,False,Non protégé,44.819048,-0.61211
170,Gymnase municipale 170,Gymnase,157 rue de la République,Paris,75000,1929,3561.91,4,Fioul,1006097.1,282.46,G,271646.22,Bonne,0.5842,277,False,2016,Travaux requis,False,Non protégé,48.878836,2.331155
171,École municipale 171,École,36 rue Pasteur,Nantes,44000,1922,5003.46,3,Fioul,2199270.84,439.55,F,593803.13,Faible,0.9335,1037,False,2015,Partiellement conforme,False,Classé,47.229733,-1.599486
172,Gymnase municipale 172,Gymnase,169 rue Jean Jaurès,Toulouse,31000,1954,6300.92,5,Fioul,2016987.5,320.11,G,544586.62,Faible,0.6156,517,False,2018,Conforme,True,Non protégé,43.582767,1.480284
173,École municipale 173,École,37 rue des Écoles,Lyon,69000,2016,1585.71,1,Électrique,75987.22,47.92,,4559.23,Très bonne,0.9452,333,False,2018,Conforme,False,Non protégé,45.758555,4.834173
174,Bibliothèque municipale 174,Bibliothèque,64 rue Pasteur,Bordeaux,33000,1997,2775.08,2,Réseau urbain,232079.94,83.63,E,23207.99,Très bonne,0.5468,303,False,2016,Conforme,False,Non protégé,44.844289,-0.611936
175,Bibliothèque municipale 175,Bibliothèque,148 rue de la République,Rennes,35000,1961,1765.97,1,Pompe à chaleur,281036.47,159.14,E,11241.46,Faible,0.5644,199,False,2025,Partiellement conforme,False,Non protégé,48.097704,-1.682209
176,EHPAD municipale 176,EHPAD,162 rue des Écoles,Lyon,69000,2017,4814.59,5,Gaz,276694.49,57.47,A,55338.9,Très bonne,1.0,2188,False,2025,Conforme,False,Non protégé,45.777273,4.852648
177,Gymnase municipale 177,Gymnase,146 rue Victor Hugo,Dijon,21000,2010,3571.38,3,Gaz,313174.31,87.69,B,62634.86,Bonne,0.4544,216,False,2019,Partiellement conforme,False,Non protégé,47.27535,5.045288
178,Bibliothèque municipale 178,Bibliothèque,220 rue Pasteur,Dijon,21000,1981,3821.03,3,Fioul,916741.52,239.92,D,247520.21,Moyenne,0.6182,472,False,2021,Conforme,False,Non protégé,47.277322,5.057423
179,Crèche municipale 179,Crèche,199 rue de la République,Marseille,13000,1967,1469.48,1,Biomasse,,,G,,Faible,0.8426,154,False,,Conforme,False,Non protégé,43.318312,5.409442
180,EHPAD municipale 180,EHPAD,190 rue Pasteur,Rennes,35000,1941,7581.02,7,Électrique,2330936.22,307.47,F,139856.17,Faible,0.8867,3055,False,2020,Conforme,False,Non protégé,48.080523,-1.68342
181,Gymnase municipale 181,Gymnase,134 rue de la République,Toulouse,31000,1906,3995.39,2,Gaz,1506222.08,376.99,F,301244.42,Faible,0.5271,280,False,2019,Conforme,False,Non protégé,43.566656,1.44696
182,Bibliothèque municipale 182,Bibliothèque,26 rue Victor Hugo,Toulouse,31000,1973,1298.12,1,Gaz,364615.95,280.88,F,72923.19,Moyenne,0.7327,190,False,2018,Partiellement conforme,False,Non protégé,43.560897,1.4061
183,Bibliothèque municipale 183,Bibliothèque,160 rue Jean Jaurès,Marseille,13000,1991,3723.02,4,Électrique,409978.96,110.12,C,24598.74,Moyenne,0.8167,608,False,2015,Travaux requis,False,Non protégé,43.344136,5.38172
184,Bibliothèque municipale 184,Bibliothèque,124 rue des Écoles,Dijon,21000,2006,1062.09,1,Pompe à chaleur,43237.68,40.71,C,1729.51,Bonne,0.6052,128,False,2018,Travaux requis,False,Non protégé,47.347607,5.042098
185,Bibliothèque municipale 185,Bibliothèque,4 rue Pasteur,Lille,59000,1930,2229.07,2,Pompe à chaleur,492267.82,220.84,F,19690.71,Faible,0.5935,264,False,2017,Conforme,False,Classé,50.605042,3.020523
186,Crèche municipale 186,Crèche,92 rue Victor Hugo,Bordeaux,33000,2006,624.78,1,Électrique,60566.17,96.94,B,3633.97,Faible,0.9323,72,False,2020,Partiellement conforme,False,Non protégé,44.841082,-0.605583
187,Crèche municipale 187,Crèche,13 rue Victor Hugo,Strasbourg,67000,1980,1559.46,1,Pompe à chaleur,202729.8,130.0,,8109.19,Moyenne,0.8087,157,False,2017,Partiellement conforme,False,Non protégé,48.560143,7.721003
188,Bibliothèque municipale 188,Bibliothèque,116 rue Pasteur,Lille,59000,1936,4045.95,4,Pompe à chaleur,858671.97,212.23,G,34346.88,Faible,0.8016,648,False,2019,Conforme,True,Non protégé,50.611841,3.024708
189,Crèche municipale 189,Crèche,33 rue Victor Hugo,Rennes,35000,2009,647.6,1,Biomasse,39374.08,60.8,D,1181.22,Bonne,0.8425,68,True,2025,Conforme,False,Non protégé,48.113295,-1.651471
190,EHPAD municipale 190,EHPAD,107 rue Victor Hugo,Rennes,35000,1989,5216.97,3,Réseau urbain,671371.87,128.69,E,67137.19,Moyenne,0.7234,1715,True,2025,Travaux requis,True,Non protégé,48.078393,-1.721758
191,Crèche municipale 191,Crèche,25 rue Victor Hugo,Bordeaux,33000,1968,1371.77,1,Électrique,154776.81,112.83,,9286.61,Très bonne,0.7812,133,False,2016,Partiellement conforme,False,Non protégé,44.796845,-0.539609
192,École municipale 192,École,22 rue Victor Hugo,Paris,75000,1968,5881.96,5,Gaz,1377613.85,234.21,G,275522.77,Faible,0.6251,817,False,2018,Partiellement conforme,False,Non protégé,48.835908,2.394036
193,École municipale 193,École,133 rue de la République,Montpellier,34000,1917,2069.81,2,Gaz,,,G,,Faible,0.6522,299,False,,Conforme,False,Non protégé,43.648388,3.859672
194,École municipale 194,École,111 rue de la République,Strasbourg,67000,1903,1655.65,2,Gaz,522854.27,315.8,F,104570.85,Faible,0.8182,301,False,2018,Partiellement conforme,False,Inscrit,48.529192,7.793556
195,EHPAD municipale 195,EHPAD,124 rue des Écoles,Strasbourg,67000,1922,4156.74,4,Biomasse,886757.34,213.33,F,26602.72,Faible,0.9137,1726,False,2016,Conforme,True,Classé,48.609424,7.7272
196,Bibliothèque municipale 196,Bibliothèque,201 rue de la République,Toulouse,31000,1903,1811.19,1,Fioul,709117.11,391.52,G,191461.62,Faible,0.4547,164,False,2022,Conforme,True,Non protégé,43.566252,1.43439
197,Gymnase municipale 197,Gymnase,107 rue de la République,Marseille,13000,1943,2208.99,2,Gaz,767955.37,347.65,F,153591.07,Faible,0.7424,218,False,2015,Travaux requis,False,Non protégé,43.335238,5.395108
198,Crèche municipale 198,Crèche,103 rue Pasteur,Lille,59000,1947,492.13,1,Gaz,161325.14,327.81,F,32265.03,Faible,0.794,48,False,2017,Travaux requis,False,Non protégé,50.589172,3.031734
199,Crèche municipale 199,Crèche,156 rue de la République,Dijon,21000,1985,1400.96,1,Gaz,245083.94,174.94,F,49016.79,Moyenne,0.731,128,False,2018,Conforme,True,Non protégé,47.275445,5.037456
200,Crèche municipale 200,Crèche,52 rue Jean Jaurès,Nantes,44000,1906,1345.51,1,Électrique,427078.33,317.41,F,25624.7,Faible,1.0,168,False,2019,Travaux requis,True,Non protégé,47.254266,-1.545212
201,Gymnase municipale 201,Gymnase,207 rue Jean Jaurès,Paris,75000,1930,6077.43,6,Gaz,,,,,Faible,0.5402,437,False,,Conforme,False,Classé,48.811223,2.383675
202,EHPAD municipale 202,EHPAD,209 rue des Écoles,Strasbourg,67000,2011,5930.54,3,Biomasse,365143.35,61.57,C,10954.3,Bonne,0.992,2674,True,2022,Conforme,False,Non protégé,48.53732,7.7278
203,École municipale 203,École,188 rue de la République,Montpellier,34000,2015,2649.81,2,Réseau urbain,97910.48,36.95,B,9791.05,Très bonne,0.7617,448,False,2021,Partiellement conforme,False,Non protégé,43.598243,3.919796
204,École municipale 204,École,95 rue Jean Jaurès,Toulouse,31000,1912,1319.62,1,Gaz,390699.89,296.07,G,78139.98,Faible,0.6264,183,False,2023,Conforme,False,Non protégé,43.564907,1.398919
205,École municipale 205,École,129 rue Victor Hugo,Bordeaux,33000,1980,3032.38,2,Électrique,537671.3,177.31,,32260.28,Moyenne,0.8138,548,False,2018,Conforme,True,Non protégé,44.819519,-0.590881
206,Gymnase municipale 206,Gymnase,90 rue de la République,Marseille,13000,1988,2874.67,2,Réseau urbain,542938.92,188.87,D,54293.89,Moyenne,0.654,250,False,2024,Conforme,False,Non protégé,43.25701,5.375989
207,École municipale 207,École,61 rue Victor Hugo,Marseille,13000,1994,2295.15,2,Biomasse,244754.8,106.64,E,7342.64,Moyenne,0.6335,323,False,2016,Partiellement conforme,False,Non protégé,43.278224,5.369763
208,Mairie municipale 208,Mairie,127 rue de la République,Toulouse,31000,1962,826.24,1,Électrique,,,E,,Faible,0.527,114,False,,Partiellement conforme,True,Non protégé,43.574172,1.457188
209,Gymnase municipale 209,Gymnase,83 rue Pasteur,Marseille,13000,1983,4766.12,4,Gaz,976673.31,204.92,F,195334.66,Moyenne,0.4644,295,True,2017,Conforme,False,Non protégé,43.316297,5.372388
210,École municipale 210,École,18 rue des Écoles,Lille,59000,1966,5870.15,5,Gaz,2033537.36,346.42,,406707.47,Faible,0.7606,992,False,2015,Partiellement conforme,False,Non protégé,50.617138,3.06921
211,École municipale 211,École,137 rue Jean Jaurès,Marseille,13000,1941,2126.12,2,Biomasse,565037.65,265.76,G,16951.13,Faible,0.6843,323,False,2021,Conforme,False,Non protégé,43.286189,5.385113
212,École municipale 212,École,124 rue Jean Jaurès,Nantes,44000,1999,4106.61,4,Électrique,582317.3,141.8,C,34939.04,Moyenne,0.8335,760,True,2015,Conforme,False,Non protégé,47.171666,-1.572779
213,Bibliothèque municipale 213,Bibliothèque,213 rue de la République,Bordeaux,33000,1955,1752.85,1,Gaz,400368.47,228.41,E,80073.69,Faible,0.5926,207,False,2016,Conforme,False,Non protégé,44.790924,-0.593296
214,EHPAD municipale 214,EHPAD,97 rue Victor Hugo,Marseille,13000,1942,5581.27,4,Électrique,1043083.55,186.89,G,62585.01,Très bonne,0.8277,2099,False,2017,Partiellement conforme,False,Non protégé,43.267616,5.356576
215,École municipale 215,École,117 rue Pasteur,Marseille,13000,1987,1422.2,1,Pompe à chaleur,107902.31,75.87,F,4316.09,Bonne,0.6519,206,False,2019,Partiellement conforme,False,Non protégé,43.340189,5.409213
216,Gymnase municipale 216,Gymnase,88 rue Pasteur,Nantes,44000,1970,2435.95,2,Gaz,638097.1,261.95,G,127619.42,Faible,0.5556,180,False,2024,Partiellement conforme,False,Non protégé,47.217974,-1.595518
217,Bibliothèque municipale 217,Bibliothèque,67 rue des Écoles,Paris,75000,1925,1095.48,1,Gaz,347727.26,317.42,G,69545.45,Faible,0.7331,160,False,2015,Travaux requis,True,Non protégé,48.812338,2.340259
218,Bibliothèque municipale 218,Bibliothèque,122 rue des Écoles,Marseille,13000,2011,2112.57,1,Gaz,205658.69,97.35,D,41131.74,Bonne,0.6676,282,False,2018,Travaux requis,False,Non protégé,43.256174,5.346933
219,EHPAD municipale 219,EHPAD,180 rue des Écoles,Lille,59000,2005,5069.0,6,Électrique,347277.19,68.51,,20836.63,Bonne,1.0,2304,True,2023,Conforme,False,Non protégé,50.635228,3.095213
220,Crèche municipale 220,Crèche,217 rue de la République,Marseille,13000,2015,1726.38,2,Gaz,60423.3,35,B,12084.66,Très bonne,0.92,198,True,2024,Conforme,False,Non protégé,43.310329,5.391931
221,École municipale 221,École,47 rue Pasteur,Grenoble,38000,1991,4920.15,3,Gaz,722917.64,146.93,D,144583.53,Bonne,0.9272,1013,False,2016,Travaux requis,True,Non protégé,45.158749,5.768473
222,EHPAD municipale 222,EHPAD,109 rue Victor Hugo,Paris,75000,1909,7514.68,6,Électrique,2371933.6,315.64,F,142316.02,Faible,0.6584,2248,False,2019,Partiellement conforme,False,Non protégé,48.864955,2.326995
223,Mairie municipale 223,Mairie,77 rue Victor Hugo,Marseille,13000,1995,2364.43,3,Gaz,340927.16,144.19,,68185.43,Moyenne,0.7547,469,True,2022,Travaux requis,False,Non protégé,43.273076,5.395805
224,Bibliothèque municipale 224,Bibliothèque,57 rue Victor Hugo,Montpellier,34000,1991,2371.57,2,Gaz,329268.78,138.84,E,65853.76,Moyenne,0.791,375,False,2023,Partiellement conforme,False,Non protégé,43.642037,3.893111
225,École municipale 225,École,25 rue Victor Hugo,Rennes,35000,2014,4907.88,5,Électrique,190327.59,38.78,C,11419.66,Très bonne,0.6347,692,True,2022,Conforme,False,Non protégé,48.148158,-1.71443
226,EHPAD municipale 226,EHPAD,147 rue Victor Hugo,Toulouse,31000,1945,8927.04,7,Réseau urbain,1821205.43,204.01,F,182120.54,Bonne,0.8533,3462,False,2021,Partiellement conforme,True,Non protégé,43.615504,1.468782
227,Crèche municipale 227,Crèche,213 rue de la République,Lyon,69000,1979,1740.83,1,Gaz,274145.91,157.48,D,54829.18,Moyenne,0.9593,208,False,2022,Conforme,False,Non protégé,45.747956,4.86346
228,École municipale 228,École,72 rue Pasteur,Toulouse,31000,1963,5948.68,4,Gaz,2086856.43,350.81,G,417371.29,Faible,0.7849,1037,False,2015,Partiellement conforme,True,Non protégé,43.593864,1.42479
229,Crèche municipale 229,Crèche,42 rue Victor Hugo,Montpellier,34000,2004,605.1,1,Fioul,75873.49,125.39,B,20485.84,Bonne,0.7842,59,False,2016,Conforme,False,Non protégé,43.621851,3.882779
230,Mairie municipale 230,Mairie,202 rue Jean Jaurès,Grenoble,38000,1954,2687.94,3,Pompe à chaleur,,,,,Faible,0.6974,493,False,,Travaux requis,True,Non protégé,45.208076,5.726098
231,École municipale 231,École,184 rue Victor Hugo,Montpellier,34000,1966,1344.28,1,Électrique,409454.25,304.59,E,24567.25,Faible,0.6369,190,False,2025,Conforme,False,Non protégé,43.589644,3.86246
232,École municipale 232,École,96 rue Jean Jaurès,Marseille,13000,1923,5346.32,4,Gaz,2208564.79,413.1,F,441712.96,Faible,0.6648,789,False,2016,Partiellement conforme,True,Inscrit,43.291356,5.333552
233,École municipale 233,École,203 rue Jean Jaurès,Dijon,21000,2013,4703.3,5,Réseau urbain,164615.5,35,B,16461.55,Très bonne,0.7961,832,False,2024,Partiellement conforme,False,Non protégé,47.368086,5.050871
234,EHPAD municipale 234,EHPAD,157 rue Jean Jaurès,Grenoble,38000,1910,4651.11,4,Pompe à chaleur,913431.49,196.39,F,36537.26,Faible,0.813,1718,False,2020,Conforme,False,Non protégé,45.152851,5.694002
235,École municipale 235,École,34 rue Jean Jaurès,Dijon,21000,1906,3064.43,3,Pompe à chaleur,569125.94,185.72,F,22765.04,Faible,0.7508,511,True,2015,Conforme,True,Non protégé,47.361465,5.013207
236,École municipale 236,École,201 rue Jean Jaurès,Marseille,13000,1942,5250.58,5,Gaz,,,F,,Très bonne,0.8396,979,True,,Conforme,True,Non protégé,43.28185,5.370497
237,Gymnase municipale 237,Gymnase,40 rue Victor Hugo,Montpellier,34000,1953,5255.14,4,Gaz,1822272.35,346.76,F,364454.47,Faible,0.6729,471,False,2022,Conforme,False,Non protégé,43.598379,3.906784
238,EHPAD municipale 238,EHPAD,35 rue Pasteur,Marseille,13000,1971,2551.52,2,Fioul,749381.42,293.7,E,202332.98,Moyenne,0.9076,1052,False,2024,Conforme,False,Non protégé,43.260894,5.346049
239,Mairie municipale 239,Mairie,36 rue des Écoles,Grenoble,38000,2016,556.55,1,Pompe à chaleur,19479.25,35,A,779.17,Très bonne,0.7412,108,False,2018,Partiellement conforme,False,Non protégé,45.22792,5.733117
240,École municipale 240,École,129 rue Victor Hugo,Toulouse,31000,1944,1472.49,1,Pompe à chaleur,372952.27,253.28,F,14918.09,Faible,0.6606,216,False,2020,Travaux requis,False,Inscrit,43.602733,1.427073
241,Crèche municipale 241,Crèche,66 rue Victor Hugo,Dijon,21000,1996,1614.46,2,Fioul,282595.08,175.04,E,76300.67,Moyenne,1.0,201,False,2018,Conforme,False,Non protégé,47.352184,5.045182
242,EHPAD municipale 242,EHPAD,191 rue Jean Jaurès,Toulouse,31000,1990,7732.6,5,Fioul,1150456.23,148.78,E,310623.18,Moyenne,0.7358,2586,True,2020,Conforme,False,Non protégé,43.634941,1.470028
243,École municipale 243,École,167 rue des Écoles,Montpellier,34000,1948,1823.33,2,Réseau urbain,,,F,,Faible,0.7653,310,False,,Conforme,True,Non protégé,43.572286,3.909095
244,École municipale 244,École,137 rue Victor Hugo,Dijon,21000,1959,3129.99,2,Gaz,969921.3,309.88,F,193984.26,Faible,0.581,404,False,2019,Conforme,False,Non protégé,47.351745,4.995786
245,Crèche municipale 245,Crèche,124 rue Victor Hugo,Dijon,21000,1990,1240.23,1,Gaz,181346.43,146.22,D,36269.29,Moyenne,0.7519,116,True,2021,Partiellement conforme,False,Non protégé,47.27726,5.010317
246,Gymnase municipale 246,Gymnase,170 rue Pasteur,Strasbourg,67000,2000,4498.72,3,Réseau urbain,368085.27,81.82,C,36808.53,Très bonne,0.5724,343,True,2019,Conforme,False,Non protégé,48.573279,7.766394
247,École municipale 247,École,218 rue des Écoles,Marseille,13000,2018,1257.27,1,Électrique,66748.46,53.09,B,4004.91,Très bonne,0.7249,202,False,2022,Conforme,False,Non protégé,43.275907,5.373726
248,École municipale 248,École,136 rue Jean Jaurès,Dijon,21000,1925,3723.32,2,Gaz,1369437.1,367.8,F,273887.42,Faible,0.723,598,False,2024,Travaux requis,False,Inscrit,47.339955,5.033604
249,Crèche municipale 249,Crèche,153 rue des Écoles,Dijon,21000,2002,367.78,1,Pompe à chaleur,15983.72,43.46,B,639.35,Bonne,0.841,38,False,2020,Partiellement conforme,False,Non protégé,47.35352,5.011072
250,Gymnase municipale 250,Gymnase,104 rue Pasteur,Lille,59000,2013,4313.41,3,Réseau urbain,150969.35,35,,15096.94,Très bonne,0.5036,289,False,2015,Conforme,False,Non protégé,50.631246,3.099277
251,EHPAD municipale 251,EHPAD,151 rue des Écoles,Montpellier,34000,1933,5661.5,5,Gaz,1834609.07,324.05,F,366921.81,Faible,1.0,2573,False,2017,Conforme,False,Non protégé,43.636733,3.906746
252,Crèche municipale 252,Crèche,163 rue Pasteur,Grenoble,38000,1919,1792.25,2,Gaz,657110.54,366.64,F,131422.11,Faible,0.8024,179,False,2024,Conforme,True,Non protégé,45.139048,5.677398
253,Gymnase municipale 253,Gymnase,14 rue Pasteur,Lille,59000,1991,2654.85,2,Électrique,382298.4,144.0,D,22937.9,Moyenne,0.5421,191,False,2025,Conforme,False,Non protégé,50.642321,3.019627
254,École municipale 254,École,76 rue Victor Hugo,Strasbourg,67000,1970,2935.26,3,Biomasse,597061.24,203.41,G,17911.84,Faible,0.7815,509,False,2023,Conforme,False,Non protégé,48.550919,7.730829
255,École municipale 255,École,74 rue de la République,Dijon,21000,2014,2336.65,2,Fioul,96223.25,41.18,A,25980.28,Très bonne,0.8166,424,False,2024,Conforme,False,Non protégé,47.344051,5.085126
